pattern_id,pattern_name,user_group,wcag_ref,coga_objective,description,design_guidance,implementation_notes,testing_notes
COG001,Use clear and understandable content,Cognitive disabilities / Dyslexia,3.1.5 (AAA),Help users understand,Write at the lowest reading level appropriate for the audience (COGA recommends ≤8th grade for general audiences),"Use short sentences (≤20 words). Prefer active voice. Avoid jargon. Define acronyms on first use.","Test with Hemingway Editor. Target Flesch-Kincaid Grade ≤8.",Have someone unfamiliar with the domain read and confirm understanding.
COG002,Use familiar design patterns,Cognitive disabilities / ADHD,3.2.3 3.2.4,Make it familiar,Don't invent novel interaction patterns when established ones exist. Users with cognitive disabilities rely heavily on learned patterns.,"Place navigation in expected locations. Use standard icons. Don't repurpose familiar UI elements.","Run heuristic evaluation against Nielsen Norman patterns.",Test with users who have cognitive disabilities or low digital literacy.
COG003,Avoid time limits or make them adjustable,Cognitive disabilities / ADHD,2.2.1 2.2.3,Give users enough time,Users with cognitive disabilities often need more time to process and respond. Time limits cause anxiety and errors.,Provide at least 20x the default time limit. Prefer no time limits for content creation tasks. Show a timer with clear remaining time.,"Implement adjustable session timeouts. Add aria-live countdown when < 60 seconds remain.",Test that time extension requests do not lose user data.
COG004,Reduce cognitive load,ADHD / Anxiety / Autism,1.3.1 3.2.2,Keep it simple,Present only the information and choices necessary for the current task. Extra options and information compete for attention.,Limit navigation items to 5-7. Group related content. Use progressive disclosure. Avoid autoplay and moving elements.,"Use prefers-reduced-motion to disable animations. Avoid auto-advancing carousels.","Test on mobile (smaller viewport forces prioritization). Time how long it takes to complete core tasks."
COG005,Support memory by reducing reliance on recall,Cognitive disabilities / Memory impairments,3.3.7 (WCAG 2.2),Help users understand,Do not force users to remember information across steps. Show previously entered data. Provide context reminders.,Show order summary on each checkout step. Pre-populate forms with previously entered data. Show breadcrumbs. Provide undo.,"Implement autofill (autocomplete attributes). Store form progress in localStorage. Implement aria-describedby with contextual hints.",Verify that session restores partial form data on timeout/refresh.
COG006,Provide clear error prevention and recovery,Cognitive disabilities / Anxiety,3.3.1 3.3.2 3.3.3 3.3.4,Help users avoid and correct mistakes,Error messages must be specific and tell the user exactly how to fix the issue. Prevent errors before they happen with inline validation.,"Error messages: say what happened + what to do. Never: 'Invalid password'. Validate as-user-types. Provide confirmation before irreversible actions.","Use aria-invalid='true' and aria-describedby pointing to error. Use role='alert' for live errors.",Test that every error message makes sense to someone with no technical background.
COG007,Use plain language for instructions and labels,Cognitive disabilities / Low literacy,3.3.2,Help users understand,Form labels and instructions must be simple and unambiguous. Avoid legal/technical language unless absolutely necessary.,"Label the field with what you want not the data type. Put instructions before the input not after. Say 'required' in the label not just an asterisk.","Pair asterisk with aria-label='required'. Add aria-describedby for hints.",Run a 5-second test: show the form for 5s then ask what each field wants.
COG008,Provide symbols and images alongside text,Cognitive disabilities / Low literacy / Autism,1.1.1 3.1.5,Help users understand,Icons and symbols aid comprehension for users with dyslexia or low literacy. They are not a replacement for text.,Use familiar icons. Add tooltips or visible labels to icon-only controls. Support AAC symbol sets where applicable.,"Never use icon-only controls without accessible name. Add title attribute for tooltip hover. Use aria-label for screen reader name.",Test icon comprehension: show icon without label and ask users what it means.
COG009,Avoid double negatives and complex conditionals,Cognitive disabilities / ADHD,3.3.2,Help users understand,Double negatives and conditional logic are difficult to parse.,"Rewrite: 'Do not disable notifications' -> 'Keep notifications on'. Avoid if-unless-then. Break multi-part conditions into separate steps.","Test instructions with readability tools.",Ask a non-technical person to explain back each instruction in their own words.
COG010,Provide multiple input modalities,Motor / Cognitive disabilities,2.5.1 2.5.4 2.1.1,Support different physical and cognitive approaches,Allow users to complete tasks by typing text searching selecting from a list or using voice/gestures.,"Provide a text input + autocomplete dropdown as alternatives to complex selects. Support voice input. Do not require drag-and-drop (provide button alternative per SC 2.5.7).","Add autocomplete tokens. Test paste and voice input work. Test that custom date pickers accept typed dates.",Test with voice control (Dragon NaturallySpeaking / Voice Control on macOS).
