id,level,category,criterion,description,notes
3.1.1,Bronze,Visual Contrast,"Text Contrast","Ensure text has sufficient contrast using APCA (Advanced Perceptual Contrast Algorithm).","APCA replaces WCAG 2.x contrast ratios. Lc 60 minimum for body text."
3.1.2,Bronze,Visual Contrast,"Non-Text Contrast","Ensure UI components and graphics have sufficient contrast.","APCA Lc 45 minimum for non-text items."
3.2.1,Bronze,Text,"Readable Typography","Use legible fonts, sufficient line spacing (1.5x), and limit paragraph width (80 chars max).","Replaces WCAG 2.x 1.4.8 and 1.4.12."
3.3.1,Bronze,Forms,"Clear Labels and Instructions","All inputs must have visible, persistent labels and clear error messages.","Combines 3.3.2 and 3.3.3 from WCAG 2.x."
3.4.1,Bronze,Structure,"Semantic Hierarchy","Use correct HTML semantics for headings, regions, and lists to build a logical structure.","Replaces 1.3.1 and 2.4.6."
3.5.1,Bronze,Keyboard,"Full Keyboard Access","All functionality must be operable via keyboard without specific timings or multiple keystrokes.","Replaces 2.1.1 and 2.1.2."
3.6.1,Bronze,Focus,"Focus Indicators","Focus must be highly visible and not obscured by other content.","Builds on 2.4.7, 2.4.11, and 2.4.12."
3.7.1,Bronze,Media,"Captions and Transcripts","Provide accurate captions for all prerecorded audio/video and transcripts for audio-only.","Replaces 1.2.x series."
3.8.1,Bronze,Cognitive,"Plain Language","Write at a lower secondary education reading level. Use simple sentences and common vocabulary.","New focus on cognitive accessibility."
3.9.1,Bronze,Touch,"Target Size and Spacing","Touch targets must be at least 44x44 CSS pixels with sufficient spacing.","Replaces 2.5.5 and 2.5.8."
