rule,scope,recommendation,wcag_ref,tool
Body text contrast,Text,4.5:1 minimum between text and background,1.4.3,WebAIM Contrast Checker
Large text contrast,Text,3:1 minimum for 18pt or 14pt bold,1.4.3,APCA / WebAIM
UI component contrast,Non-text,3:1 minimum for borders states and icons against adjacent colors,1.4.11,Colour Contrast Analyser
Focus indicator contrast,Non-text,3:1 against adjacent colors in both states,2.4.11 / 2.4.13,Chrome DevTools
Link vs body text,Text,3:1 contrast between link color and surrounding text if not underlined,1.4.1,WebAIM Link Contrast
Error state,Meaning,Pair red with icon and text label never color alone,1.4.1,-
Status palette,System,Define semantic colors (success warning error info) with accessible variants,1.4.1,-
Dark mode pairs,Theme,Test all pairings in both light and dark; focus and hover included,1.4.3,Stark / Figma contrast plugin
Data visualization,Charts,Use patterns shapes and labels in addition to color,1.4.1,Viz Palette
Brand color safety,Brand,Check brand hues at AA for text; add accessible variant if failing,1.4.3,Leonardo color.adobe.com
Gradient backgrounds,Backgrounds,Test text contrast against darkest and lightest gradient stop,1.4.3,APCA
State tokens,Design tokens,Create accessible tokens (default hover active focus disabled) all >= 3:1,1.4.11,Style Dictionary
Disabled affordance,Disabled,Disabled controls need visual distinction but are exempt from contrast; never rely on low contrast alone for meaning,-,-
High contrast mode,Windows,Support forced-colors media query; use CanvasText and system colors,-,Windows HCM
Color blind coverage,Perception,Validate palette in deuteranopia protanopia tritanopia simulators,1.4.1,Sim Daltonism / Chrome vision deficiencies
Minimum hue steps,Differentiation,Ensure adjacent categorical colors differ in luminance not just hue,1.4.1,Viz Palette
Print/grayscale,Alternate media,Palette remains distinguishable in grayscale,1.4.1,-
