reader,platform,mode,action,key,notes
NVDA,Windows,Browse,"Read next element","Down Arrow",""
NVDA,Windows,Browse,"Read previous element","Up Arrow",""
NVDA,Windows,Browse,"Next heading","H","Shift+H for previous"
NVDA,Windows,Browse,"Next heading level 1-6","1-6","Shift+1-6 for previous"
NVDA,Windows,Browse,"Next link","K","Shift+K for previous"
NVDA,Windows,Browse,"Next button","B","Shift+B for previous"
NVDA,Windows,Browse,"Next form field","F","Shift+F for previous"
NVDA,Windows,Browse,"Next table","T","Shift+T for previous"
NVDA,Windows,Browse,"Next landmark","D","Shift+D for previous"
NVDA,Windows,Browse,"Next list","L","Shift+L for previous"
NVDA,Windows,Browse,"Next graphic","G","Shift+G for previous"
NVDA,Windows,Browse,"Elements list (links/headings/landmarks)","NVDA+F7","NVDA key is usually Insert or CapsLock"
NVDA,Windows,Browse,"Read current line","NVDA+L",""
NVDA,Windows,Browse,"Read from here","NVDA+Down Arrow",""
NVDA,Windows,Browse,"Stop speech","Control",""
NVDA,Windows,Browse,"Toggle forms/browse mode","NVDA+Space","Auto-switches on form fields"
NVDA,Windows,Browse,"Activate link/button","Enter",""
NVDA,Windows,Forms,"Interact with field","Type directly",""
NVDA,Windows,Forms,"Exit forms mode","Escape or NVDA+Space",""
NVDA,Windows,Table,"Next cell","Tab (interactive) or Right Arrow",""
NVDA,Windows,Table,"Read column header","NVDA+Control+Up","Reads header for current column"
NVDA,Windows,Table,"Read row header","NVDA+Control+Left","Reads header for current row"
JAWS,Windows,Browse,"Next heading","H","Shift+H for previous"
JAWS,Windows,Browse,"Next heading level 1-6","1-6","Shift+1-6 for previous"
JAWS,Windows,Browse,"Next link","Tab or K","K navigates by link; Tab by all focusable"
JAWS,Windows,Browse,"Next form field","F","Shift+F for previous"
JAWS,Windows,Browse,"Next button","B","Shift+B for previous"
JAWS,Windows,Browse,"Next table","T","Shift+T for previous"
JAWS,Windows,Browse,"Next landmark","R","Shift+R for previous"
JAWS,Windows,Browse,"Elements list","Insert+F3","Switchable list: links/headings/forms/graphics/landmarks"
JAWS,Windows,Browse,"Read current line","Insert+Up Arrow",""
JAWS,Windows,Browse,"Say all from top","Insert+Down Arrow",""
JAWS,Windows,Browse,"Stop speech","Control",""
JAWS,Windows,Browse,"Toggle virtual/forms mode","Enter on field or Insert+Z",""
JAWS,Windows,Table,"Read column header","Insert+Control+Up","Reads header for current column"
