id,level,principle,criterion,description,techniques,failures,url
1.1.1,A,Perceivable,Non-text Content,"All non-text content has a text alternative that serves the equivalent purpose","H37 img alt; H36 submit button alt; ARIA6 aria-label","F3 CSS background for meaningful image; F13 alt ignores visual info",https://www.w3.org/WAI/WCAG21/Understanding/non-text-content
1.2.1,A,Perceivable,Audio-only and Video-only (Prerecorded),"Provide alternative for time-based media","G158 transcript for audio; G159 transcript for video","F30 using text that cannot be programmatically determined",https://www.w3.org/WAI/WCAG21/Understanding/audio-only-and-video-only-prerecorded
1.2.2,A,Perceivable,Captions (Prerecorded),"Captions for prerecorded audio in synchronized media","G93 open captions; G87 closed captions","F8 captions omit dialogue; F74 captions out of sync",https://www.w3.org/WAI/WCAG21/Understanding/captions-prerecorded
1.2.3,A,Perceivable,Audio Description or Media Alternative (Prerecorded),"Alternative or audio description for prerecorded video","G69 transcript; G78 audio description track","",https://www.w3.org/WAI/WCAG21/Understanding/audio-description-or-media-alternative-prerecorded
1.2.4,AA,Perceivable,Captions (Live),"Captions for live audio in synchronized media","G9 real-time captions","",https://www.w3.org/WAI/WCAG21/Understanding/captions-live
1.2.5,AA,Perceivable,Audio Description (Prerecorded),"Audio description for prerecorded video","G78 audio description track; G173 extended audio description","",https://www.w3.org/WAI/WCAG21/Understanding/audio-description-prerecorded
1.3.1,A,Perceivable,Info and Relationships,"Structure and relationships can be programmatically determined","H42 headings; H71 fieldset+legend; H85 select groups; ARIA landmark roles","F2 CSS for structure; F33 white space for columns; F34 white space for tables",https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships
1.3.2,A,Perceivable,Meaningful Sequence,"Correct reading sequence can be programmatically determined","G57 order matches reading order; H34 reading order in DOM","F32 white space for formatting",https://www.w3.org/WAI/WCAG21/Understanding/meaningful-sequence
1.3.3,A,Perceivable,Sensory Characteristics,"Instructions don't rely solely on shape/color/size/position","G96 use text not just visual reference","F14 identifying by shape only; F26 by color only",https://www.w3.org/WAI/WCAG21/Understanding/sensory-characteristics
1.3.4,AA,Perceivable,Orientation,"Content not restricted to single display orientation","G214 allow any orientation","F97 locking to one orientation",https://www.w3.org/WAI/WCAG21/Understanding/orientation
1.3.5,AA,Perceivable,Identify Input Purpose,"Purpose of input fields can be programmatically determined","H98 autocomplete attributes","",https://www.w3.org/WAI/WCAG21/Understanding/identify-input-purpose
1.4.1,A,Perceivable,Use of Color,"Color not used as sole means of conveying information","G14 indicator other than color; G182 color + text","F13 alt text ignoring color; F73 color-only link identification",https://www.w3.org/WAI/WCAG21/Understanding/use-of-color
1.4.2,A,Perceivable,Audio Control,"Mechanism to pause/stop/mute audio >3s","G60 pause mechanism; G170 control near beginning","F23 playing audio >3s without control",https://www.w3.org/WAI/WCAG21/Understanding/audio-control
1.4.3,AA,Perceivable,Contrast (Minimum),"4.5:1 normal text; 3:1 large text (18pt or 14pt bold)","G18 contrast ratio 4.5:1; G145 contrast ratio 3:1","F24 foreground without background; F83 using decorative image as background",https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum
1.4.4,AA,Perceivable,Resize Text,"Text resizable to 200% without assistive technology or content loss","G142 200% without AT; G179 reflow at 200%","F69 content clips at 200%; F80 zooming locks viewport",https://www.w3.org/WAI/WCAG21/Understanding/resize-text
1.4.5,AA,Perceivable,Images of Text,"Use text not images of text (logos excepted)","G140 separate structure from presentation","",https://www.w3.org/WAI/WCAG21/Understanding/images-of-text
1.4.10,AA,Perceivable,Reflow,"Content reflows at 320px width without horizontal scrolling","C32 media queries; C31 CSS grid","F102 content disappears at small viewport",https://www.w3.org/WAI/WCAG21/Understanding/reflow
1.4.11,AA,Perceivable,Non-text Contrast,"3:1 contrast for UI components and graphical objects","G195 visible focus indicator; G207 icon contrast","",https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast
1.4.12,AA,Perceivable,Text Spacing,"No content loss with: line-height 1.5x; letter-spacing 0.12em; word-spacing 0.16em; paragraph spacing 2em","C35 allow text spacing override","F104 text spacing override causes content loss",https://www.w3.org/WAI/WCAG21/Understanding/text-spacing
1.4.13,AA,Perceivable,Content on Hover or Focus,"Pointer/keyboard-triggered content is dismissible/hoverable/persistent","C39 use CSS to control hover content","",https://www.w3.org/WAI/WCAG21/Understanding/content-on-hover-or-focus
2.1.1,A,Operable,Keyboard,"All functionality operable via keyboard with no timing","G202 keyboard control for all functions; H91 HTML controls","F54 mouse-only events; F55 using script to remove focus",https://www.w3.org/WAI/WCAG21/Understanding/keyboard
2.1.2,A,Operable,No Keyboard Trap,"Keyboard focus not trapped; escape path documented","G21 no trapping; G171 documented escape","F10 non-standard keyboard navigation trap",https://www.w3.org/WAI/WCAG21/Understanding/no-keyboard-trap
2.1.4,A,Operable,Character Key Shortcuts,"Single-key shortcuts can be turned off or remapped or active only on focus","G217 remap or disable shortcuts","",https://www.w3.org/WAI/WCAG21/Understanding/character-key-shortcuts
2.2.1,A,Operable,Timing Adjustable,"Time limits adjustable/extendable/removable (exceptions: real-time, essential, >20h)","G133 warn and allow extension; G180 user-set limit","F40 redirect with time limit; F41 refresh with time limit",https://www.w3.org/WAI/WCAG21/Understanding/timing-adjustable
2.2.2,A,Operable,Pause Stop Hide,"Moving/blinking/scrolling content: mechanism to pause/stop/hide","G4 pause-stop-hide mechanism","F16 auto-advancing carousels; F47 using blink element",https://www.w3.org/WAI/WCAG21/Understanding/pause-stop-hide
2.3.1,A,Operable,Three Flashes or Below Threshold,"No content flashes >3 times/second above threshold","G19 no flash >3/sec; G176 keep below threshold","",https://www.w3.org/WAI/WCAG21/Understanding/three-flashes-or-below-threshold
2.4.1,A,Operable,Bypass Blocks,"Skip navigation mechanism for repeated content","G1 skip to main; G123 skip to start of block; H69 headings","F25 title-only navigation; F60 link to new page instead of skipping",https://www.w3.org/WAI/WCAG21/Understanding/bypass-blocks
2.4.2,A,Operable,Page Titled,"Pages have descriptive titles","H25 meaningful title","F25 placeholder title; F77 duplicate titles",https://www.w3.org/WAI/WCAG21/Understanding/page-titled
2.4.3,A,Operable,Focus Order,"Focus order preserves meaning and operability","G59 interactive elements in DOM order; H4 tabindex","F44 tabindex wrong order; F85 dialog focus not managed",https://www.w3.org/WAI/WCAG21/Understanding/focus-order
2.4.4,A,Operable,Link Purpose (In Context),"Link purpose determinable from text or context","H30 link text describes destination; ARIA7 aria-labelledby","F63 links that open without warning; F89 empty link",https://www.w3.org/WAI/WCAG21/Understanding/link-purpose-in-context
2.4.5,AA,Operable,Multiple Ways,"More than one way to locate a page (search/sitemap/TOC)","G63 site map; G64 TOC; G161 search","",https://www.w3.org/WAI/WCAG21/Understanding/multiple-ways
2.4.6,AA,Operable,Headings and Labels,"Headings and labels are descriptive","G130 descriptive headings; G131 descriptive labels","",https://www.w3.org/WAI/WCAG21/Understanding/headings-and-labels
2.4.7,AA,Operable,Focus Visible,"Keyboard focus indicator visible","G149 CSS outline on focus; G165 default outline","F65 removing outline; F78 outline only on :focus not :focus-visible",https://www.w3.org/WAI/WCAG21/Understanding/focus-visible
2.5.1,A,Operable,Pointer Gestures,"Multi-point/path gestures have single-pointer alternative","G215 alternative to path gesture","",https://www.w3.org/WAI/WCAG21/Understanding/pointer-gestures
2.5.2,A,Operable,Pointer Cancellation,"Single-pointer functionality: no down-event trigger; abort/undo on up; up reverses down","G210 use up-event for function","F101 activation on down event",https://www.w3.org/WAI/WCAG21/Understanding/pointer-cancellation
2.5.3,A,Operable,Label in Name,"Visible label text is included in accessible name","G211 accessible name matches visible label","F96 accessible name differs from visible label",https://www.w3.org/WAI/WCAG21/Understanding/label-in-name
2.5.4,A,Operable,Motion Actuation,"Functionality triggered by device motion has UI alternative and can be disabled","G213 UI alternative for motion","",https://www.w3.org/WAI/WCAG21/Understanding/motion-actuation
3.1.1,A,Understandable,Language of Page,"Default language of page programmatically determined","H57 lang attribute on html","F25 missing lang; F90 incorrect lang",https://www.w3.org/WAI/WCAG21/Understanding/language-of-page
3.1.2,AA,Understandable,Language of Parts,"Language of each passage/phrase programmatically determined","H58 lang attribute on elements","F25 missing lang on change",https://www.w3.org/WAI/WCAG21/Understanding/language-of-parts
3.2.1,A,Understandable,On Focus,"No context change on focus","G107 use activate not focus to initiate change","F52 context change on focus; F55 using script that removes focus",https://www.w3.org/WAI/WCAG21/Understanding/on-focus
3.2.2,A,Understandable,On Input,"No context change on input without notice","G80 submit button; G13 describe behavior before control","F36 automatic form submit; F37 launching new window without notice",https://www.w3.org/WAI/WCAG21/Understanding/on-input
3.2.3,AA,Understandable,Consistent Navigation,"Navigation consistent across pages","G61 consistent navigation order","F66 different order across pages",https://www.w3.org/WAI/WCAG21/Understanding/consistent-navigation
3.2.4,AA,Understandable,Consistent Identification,"Components with same function identified consistently","G197 consistent labels for same function","",https://www.w3.org/WAI/WCAG21/Understanding/consistent-identification
