component,role,required_aria,optional_aria,keyboard,focus_management,notes,wcag_ref
Button,button,"aria-label (if icon-only)","aria-pressed (toggle); aria-expanded (disclosure); aria-disabled","Enter: activate; Space: activate","No focus management needed","Use <button> natively; never div+role=button without keyboard handler",4.1.2
Link,link,"","aria-label (if text is vague like 'read more')","Enter: follow link","No focus management needed","Use <a href>; if no href use role=link + tabindex=0 + keyboard handler",4.1.2
Checkbox,checkbox,"aria-checked","aria-required; aria-invalid; aria-describedby","Space: toggle","No focus management needed","Prefer native <input type=checkbox>; aria-checked must be true/false/mixed",4.1.2
Radio Group,radiogroup + radio,"aria-checked on each radio; aria-labelledby on group","aria-required","Arrow keys: navigate within group; Space: select","No focus management needed","Tab enters group; arrows move within; only one radio in tab sequence",4.1.2
Tab List,tablist + tab + tabpanel,"aria-selected on tab; aria-controls on tab; aria-labelledby on tabpanel","aria-orientation (horizontal/vertical)","Arrow keys: switch tabs; Enter/Space: activate tab; Home/End: first/last tab","On tab activate move focus to tab (not panel)","Inactive tabs hidden with hidden attr or tabindex=-1; tabpanel must be keyboard reachable",4.1.2
Accordion,button + region,"aria-expanded on button; aria-controls on button; id on panel","aria-disabled","Enter/Space: toggle; Tab: next accordion","Focus stays on button","Use heading inside button or wrap button in heading; panel uses region role if landmark needed",4.1.2
Modal Dialog,dialog,"aria-modal=true; aria-labelledby (title); aria-describedby (optional)","","Tab: cycle within dialog; Shift+Tab: reverse; Escape: close","Move focus to first focusable element on open; return focus to trigger on close","Inert or aria-hidden the background; no scrolling behind modal",2.1.2
Alert Dialog,alertdialog,"aria-modal=true; aria-labelledby; aria-describedby","","Tab: cycle within; Escape: may not close (confirm required)","Move focus to dialog on open","Use for confirmations requiring user response; role=alertdialog announces immediately",4.1.3
Menu,menu + menuitem,"aria-haspopup=menu on trigger; aria-expanded on trigger","aria-disabled on menuitem; aria-checked on menuitemcheckbox","Arrow keys: navigate items; Enter/Space: activate; Escape: close; Home/End: first/last","Move focus into menu on open; return to trigger on close","Menu != navigation; use for application-style menus (File/Edit); for site nav use nav+ul",2.1.1
Combobox,combobox,"aria-expanded; aria-haspopup=listbox; aria-controls=listbox-id; aria-autocomplete","aria-activedescendant","Arrow Down: open/next; Arrow Up: prev; Enter: select; Escape: close; typing: filter","Focus stays on input; use aria-activedescendant to track listbox selection","Chrome needs aria-owns sometimes; test NVDA+Firefox and VoiceOver+Safari separately",4.1.2
